WKT,name,lat,long
"POINT (106.8 -6.6)",KABUPATEN BOGOR,-6.6,106.8
"POINT (106.922203 -6.92405)",KABUPATEN SUKABUMI,-6.92405,106.922203
"POINT (107.908699 -7.227906)",KABUPATEN GARUT,-7.227906,107.908699
"POINT (106.8 -6.6)",KABUPATEN BOGOR,-6.6,106.8
"POINT (108.214104 -7.327953999999999)",KABUPATEN TASIKMALAYA,-7.327953999999999,108.214104
"POINT (107.752403 -6.569361)",KABUPATEN SUBANG,-6.569361,107.752403
"POINT (108.32510400000001 -6.336315)",KABUPATEN INDRAMAYU,-6.336315,108.32510400000001
"POINT (107.4321959 -6.8937121)",KABUPATEN BANDUNG BARAT,-6.8937121,107.4321959
"POINT (107.6098111 -6.9147444)",KABUPATEN BANDUNG,-6.9147444,107.6098111
"POINT (107.6098111 -6.9147444)",KOTA BANDUNG,-6.9147444,107.6098111
"POINT (107.0 -6.2333333)",KOTA BEKASI,-6.2333333,107.0
"POINT (107.0 -6.2333333)",KABUPATEN BEKASI,-6.2333333,107.0
"POINT (107.13072890000001 -6.8172531)",KABUPATEN CIANJUR,-6.8172531,107.13072890000001
"POINT (108.35 -7.3333333)",KABUPATEN CIAMIS,-7.3333333,108.35
"POINT (108.564003 -6.715534)",KABUPATEN CIREBON,-6.715534,108.564003
"POINT (107.3375791 -6.3227303)",KABUPATEN KARAWANG,-6.3227303,107.3375791
