WKT,no,id,foreign,name,lat,long
"POINT (109.0 -7.733333)",187.0,3301.0,33.0,KABUPATEN CILACAP,-7.733333,109.0
"POINT (109.14043799999999 -7.4832133)",188.0,3302.0,33.0,KABUPATEN BANYUMAS,-7.4832133,109.14043799999999
"POINT (109.3638 -7.390747)",189.0,3303.0,33.0,KABUPATEN PURBALINGGA,-7.390747,109.3638
"POINT (109.68139599999999 -7.402705999999999)",190.0,3304.0,33.0,KABUPATEN BANJARNEGARA,-7.402705999999999,109.68139599999999
"POINT (109.656502 -7.678682000000001)",191.0,3305.0,33.0,KABUPATEN KEBUMEN,-7.678682000000001,109.656502
"POINT (110.008003 -7.709731)",192.0,3306.0,33.0,KABUPATEN PURWOREJO,-7.709731,110.008003
"POINT (109.899399 -7.362108999999999)",193.0,3307.0,33.0,KABUPATEN WONOSOBO,-7.362108999999999,109.899399
"POINT (110.213799 -7.481253)",194.0,3308.0,33.0,KABUPATEN MAGELANG,-7.481253,110.213799
"POINT (110.595901 -7.5238190000000005)",195.0,3309.0,33.0,KABUPATEN BOYOLALI,-7.5238190000000005,110.595901
"POINT (110.595497 -7.7116869999999995)",196.0,3310.0,33.0,KABUPATEN KLATEN,-7.7116869999999995,110.595497
"POINT (110.81952920000002 -7.6808818)",197.0,3311.0,33.0,KABUPATEN SUKOHARJO,-7.6808818,110.81952920000002
"POINT (110.920601 -7.817782000000001)",198.0,3312.0,33.0,KABUPATEN WONOGIRI,-7.817782000000001,110.920601
"POINT (110.95083329999999 -7.596111099999999)",199.0,3313.0,33.0,KABUPATEN KARANGANYAR,-7.596111099999999,110.95083329999999
"POINT (111.021301 -7.430229)",200.0,3314.0,33.0,KABUPATEN SRAGEN,-7.430229,111.021301
"POINT (110.96258540000001 -7.0217194)",201.0,3315.0,33.0,KABUPATEN GROBOGAN,-7.0217194,110.96258540000001
"POINT (111.41666670000001 -6.95)",202.0,3316.0,33.0,KABUPATEN BLORA,-6.95,111.41666670000001
"POINT (111.345299 -6.711239999999999)",203.0,3317.0,33.0,KABUPATEN REMBANG,-6.711239999999999,111.345299
"POINT (111.038002 -6.7513380000000005)",204.0,3318.0,33.0,KABUPATEN PATI,-6.7513380000000005,111.038002
"POINT (110.83820300000001 -6.804086999999999)",205.0,3319.0,33.0,KABUPATEN KUDUS,-6.804086999999999,110.83820300000001
"POINT (110.6717 -6.559605900000001)",206.0,3320.0,33.0,KABUPATEN JEPARA,-6.559605900000001,110.6717
"POINT (110.639297 -6.888114999999999)",207.0,3321.0,33.0,KABUPATEN DEMAK,-6.888114999999999,110.639297
"POINT (110.41666670000001 -6.9666667)",208.0,3322.0,33.0,KABUPATEN SEMARANG,-6.9666667,110.41666670000001
"POINT (110.174797 -7.316669)",209.0,3323.0,33.0,KABUPATEN TEMANGGUNG,-7.316669,110.174797
"POINT (110.205597 -6.9196860000000004)",210.0,3324.0,33.0,KABUPATEN KENDAL,-6.9196860000000004,110.205597
"POINT (103.0817903 -1.7083921999999998)",211.0,3325.0,33.0,KABUPATEN BATANG,-1.7083921999999998,103.0817903
"POINT (109.66999799999999 -6.882886999999999)",212.0,3326.0,33.0,KABUPATEN PEKALONGAN,-6.882886999999999,109.66999799999999
"POINT (109.377998 -6.884233999999999)",213.0,3327.0,33.0,KABUPATEN PEMALANG,-6.884233999999999,109.377998
"POINT (109.13333329999999 -6.866666700000001)",214.0,3328.0,33.0,KABUPATEN TEGAL,-6.866666700000001,109.13333329999999
"POINT (109.05 -6.883333299999999)",215.0,3329.0,33.0,KABUPATEN BREBES,-6.883333299999999,109.05
